claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,checked_at
Diese Regelungen seien mehrfach gerichtlich bestätigt worden,https://weltwoche.ch/daily/dem-europaeischen-weg-folgen-cdu-frauen-fordern-burka-verbot/,weltwoche.ch,«Dem europäischen Weg folgen»: CDU-Frauen fordern Burka-Verbot,0,LOW,False,,,2026-01-27T17:04:35.897815
Ich bedauere im übrigen das Tessa Ganserer aus Solidarität mit unterdrückten Minderheiten nie eine Burka getragen hat,https://weltwoche.ch/daily/dem-europaeischen-weg-folgen-cdu-frauen-fordern-burka-verbot/,weltwoche.ch,«Dem europäischen Weg folgen»: CDU-Frauen fordern Burka-Verbot,0.1,LOW,False,,,2026-01-27T17:04:36.051570
"Während offiziell von „Modernisierung“ die Rede ist, verschwinden im Wochentakt hochrangige Militärs der Zentralen Militärkommission (CMC)",https://www.bild.de/politik/china-machthaber-xi-saeubert-die-militaer-elite-taiwan-muss-zittern-69772590fe9fcdf90e7c9a4d,bild.de,China: Machthaber Xi säubert die Militär-Elite! Taiwan muss zittern | Politik | BILD.de,0,LOW,False,,,2026-01-27T17:04:38.883589
"Chronik des SturzesWas offiziell als Kampagne gegen „Disziplinlosigkeit“ tituliert wird, entpuppt sich bei genauem Hinsehen als politische Säuberung historischen Ausmaßes",https://www.bild.de/politik/china-machthaber-xi-saeubert-die-militaer-elite-taiwan-muss-zittern-69772590fe9fcdf90e7c9a4d,bild.de,China: Machthaber Xi säubert die Militär-Elite! Taiwan muss zittern | Politik | BILD.de,0,LOW,False,,,2026-01-27T17:04:39.020261
"Von den sechs hochrangigen Militärs, die 2022 gemeinsam mit Xi die Geschicke des Landes lenken sollten, sind inzwischen fast alle von der Bildfläche verschwunden",https://www.bild.de/politik/china-machthaber-xi-saeubert-die-militaer-elite-taiwan-muss-zittern-69772590fe9fcdf90e7c9a4d,bild.de,China: Machthaber Xi säubert die Militär-Elite! Taiwan muss zittern | Politik | BILD.de,0.1,LOW,False,,,2026-01-27T17:04:39.176376
"6% in the fourth quarter, contributing to a full-year economic return of 22",https://www.dailypolitical.com/2026/01/27/agnc-investment-q4-earnings-call-highlights.html,dailypolitical.com,AGNC Investment Q4 Earnings Call Highlights - Daily Political,0,LOW,False,,,2026-01-27T17:04:47.409328
"8% with dividends reinvested, which he said was nearly double the S&amp;P 500’s performance",https://www.dailypolitical.com/2026/01/27/agnc-investment-q4-earnings-call-highlights.html,dailypolitical.com,AGNC Investment Q4 Earnings Call Highlights - Daily Political,0,LOW,False,,,2026-01-27T17:04:47.576205
6% in 2025 and outperformed the Treasury Index by 2,https://www.dailypolitical.com/2026/01/27/agnc-investment-q4-earnings-call-highlights.html,dailypolitical.com,AGNC Investment Q4 Earnings Call Highlights - Daily Political,0,LOW,False,,,2026-01-27T17:04:47.721925
6% increase compared to 2024 and the highest number of arrivals on record,https://www.sanews.gov.za/south-africa/tourism-key-driver-economic-growth-and-job-creation-sa,sanews.gov.za,Tourism is key driver of economic growth and job creation in SA | SAnews,0,LOW,False,,,2026-01-27T17:04:54.294505
"Prime Minister Narendra Modi's government has agreed to immediately lower duties on a limited number of cars from the 27-nation bloc priced above 15,000 euros (US$17,739), two sources briefed on the negotiations told Reuters",http://www.chinanationalnews.com/news/278832833/india-opens-auto-market-to-slash-eu-car-tariffs-in-trade-deal,chinanationalnews.com,"India opens auto market, to slash EU car tariffs in trade deal",0,LOW,False,,,2026-01-27T17:04:56.206882
8bn to one of Cape Town’s fastest-growing mixed-use nodes in a transaction alongside 100% black-owned private property group NCS Property,https://www.businessday.co.za/companies/2026-01-27-gepf-lifts-exposure-to-cape-town-property-with-r18bn-century-city-deal/,businessday.co.za,GEPF lifts exposure to Cape Town property with R1.8bn Century City deal,0.1,LOW,False,,,2026-01-27T17:05:01.662386
